               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,               1.441,            0.030503,                   0,             0.78442,             0.71753,             0.77496,             0.37964,              1.4257,            0.033813,                   0,           0.0094884,           0.0094884,           0.0094884
                 148,              1.4281,            0.031072,                   0,             0.80879,             0.70726,              0.7722,             0.39773,              1.4706,            0.033026,                   0,           0.0094815,           0.0094815,           0.0094815
                 149,              1.4012,            0.030664,                   0,             0.79753,             0.70942,             0.76582,             0.37909,              1.5123,            0.032393,                   0,           0.0094745,           0.0094745,           0.0094745
                 150,              1.4695,            0.030693,                   0,             0.80394,             0.71753,             0.75535,             0.39895,              1.3714,            0.033468,                   0,           0.0094675,           0.0094675,           0.0094675
                 151,              1.4473,            0.030577,                   0,             0.81056,             0.71916,             0.77214,             0.39544,              1.4212,            0.032242,                   0,           0.0094605,           0.0094605,           0.0094605
                 152,              1.4191,            0.030374,                   0,             0.84002,             0.72727,             0.80233,             0.40908,              1.4679,            0.031479,                   0,           0.0094534,           0.0094534,           0.0094534
                 153,              1.4902,            0.030703,                   0,             0.78785,             0.73539,             0.78341,             0.37343,              1.4646,            0.031832,                   0,           0.0094463,           0.0094463,           0.0094463
                 154,              1.4281,            0.030573,                   0,             0.78223,             0.73214,             0.77575,             0.34575,              1.6246,            0.032258,                   0,           0.0094391,           0.0094391,           0.0094391
                 155,              1.4196,            0.029795,                   0,             0.72706,             0.72218,             0.73563,             0.37585,              1.4132,            0.031892,                   0,           0.0094319,           0.0094319,           0.0094319
                 156,              1.4403,            0.029476,                   0,             0.78687,             0.69156,             0.75814,             0.35505,              1.5221,            0.031583,                   0,           0.0094246,           0.0094246,           0.0094246
                 157,              1.4282,              0.0306,                   0,             0.82052,             0.71753,             0.78335,              0.3485,              1.5222,            0.032232,                   0,           0.0094173,           0.0094173,           0.0094173
                 158,              1.4462,             0.02928,                   0,             0.83334,             0.74675,             0.82146,             0.41492,              1.5134,            0.032247,                   0,             0.00941,             0.00941,             0.00941
                 159,              1.4282,             0.03009,                   0,             0.82704,             0.75325,             0.81132,             0.42981,              1.4155,            0.030806,                   0,           0.0094026,           0.0094026,           0.0094026
                 160,              1.3853,            0.031133,                   0,             0.78956,              0.7309,             0.76813,             0.34085,              1.5792,            0.031862,                   0,           0.0093952,           0.0093952,           0.0093952
                 161,              1.3862,             0.03056,                   0,             0.77724,             0.71936,              0.7658,              0.3867,              1.6037,            0.031644,                   0,           0.0093877,           0.0093877,           0.0093877
                 162,               1.431,            0.030102,                   0,             0.80261,             0.74188,             0.79654,             0.40893,               1.537,            0.032397,                   0,           0.0093802,           0.0093802,           0.0093802
                 163,              1.4387,            0.029831,                   0,             0.80512,             0.74351,              0.7985,             0.41041,              1.5138,            0.031619,                   0,           0.0093726,           0.0093726,           0.0093726
                 164,              1.3697,            0.031776,                   0,             0.75378,             0.75974,             0.77793,             0.38247,              1.5302,            0.031656,                   0,           0.0093651,           0.0093651,           0.0093651
                 165,              1.4096,             0.03111,                   0,             0.79453,             0.73539,              0.7987,             0.40358,               1.514,            0.031615,                   0,           0.0093574,           0.0093574,           0.0093574
                 166,               1.386,            0.030672,                   0,             0.79151,             0.73338,             0.77608,             0.40512,               1.462,            0.031326,                   0,           0.0093497,           0.0093497,           0.0093497
                 167,              1.4127,            0.029501,                   0,             0.78194,             0.70455,             0.72856,             0.34742,              1.5372,            0.032658,                   0,            0.009342,            0.009342,            0.009342
                 168,              1.4192,            0.032187,                   0,             0.77983,             0.72447,             0.76295,             0.38488,               1.462,            0.033441,                   0,           0.0093342,           0.0093342,           0.0093342
